state,operator,data_benefit,validity,cost,type,bitsperday,costperbit,dataperdayperrupee
Mumbai,Reliance,600,10,52,"Unlimited FB, TW",60,0.086666667,1.153846154
UP West/Uttarakhand,Airtel,120,4,26,Internet,30,0.216666667,1.153846154
Andhra Pradesh,Reliance,135,4,29,Internet,33.75,0.214814815,1.163793103
Himachal Pradesh,Reliance,300,7,36,Internet,42.85714286,0.12,1.19047619
Kerala,Airtel,120,4,25,Internet,30,0.208333333,1.2
Himachal Pradesh,Reliance,175,5,29,Internet,35,0.165714286,1.206896552
Assam,Reliance,250,7,29,Internet,35.71428571,0.116,1.231527094
North East,Reliance,250,7,29,Internet,35.71428571,0.116,1.231527094
Andhra Pradesh,Airtel,125,4,25,Internet,31.25,0.2,1.25
Bihar/Jharkhand,Idea,140,4,28,Internet,35,0.2,1.25
Chennai,Airtel,125,4,25,Internet,31.25,0.2,1.25
Haryana,Airtel,130,4,26,Internet,32.5,0.2,1.25
Himachal Pradesh,Idea,140,4,28,Internet,35,0.2,1.25
Himachal Pradesh,Airtel,125,4,25,Internet,31.25,0.2,1.25
Jammu and Kashmir,Airtel,110,4,22,Internet,27.5,0.2,1.25
Karnataka,Idea,130,4,26,Internet,32.5,0.2,1.25
Karnataka,Airtel,125,4,25,Internet,31.25,0.2,1.25
Kolkata,Idea,140,4,28,Internet,35,0.2,1.25
Kolkata,Airtel,125,4,25,Internet,31.25,0.2,1.25
Kolkata,Airtel,165,4,33,Internet,41.25,0.2,1.25
Maharashtra/Goa,Airtel,125,4,25,Internet,31.25,0.2,1.25
Madhya Pradesh/Chhattisgarh,Airtel,125,4,25,Internet,31.25,0.2,1.25
Mumbai,Idea,140,4,28,Internet,35,0.2,1.25
Mumbai,Airtel,125,4,25,Internet,31.25,0.2,1.25
Punjab,Idea,145,4,29,Internet,36.25,0.2,1.25
Punjab,Airtel,125,4,25,Internet,31.25,0.2,1.25
Rajasthan,Airtel,125,4,25,Internet,31.25,0.2,1.25
UP East,Airtel,140,4,28,Internet,35,0.2,1.25
UP West/Uttarakhand,Idea,135,4,27,Internet,33.75,0.2,1.25
West Bengal,Idea,140,4,28,Internet,35,0.2,1.25
West Bengal,Airtel,125,4,25,Internet,31.25,0.2,1.25
Delhi NCR,Airtel,200,4,39,Internet,50,0.195,1.282051282
Madhya Pradesh/Chhattisgarh,Idea,100,3,26,Internet,33.33333333,0.26,1.282051282
Maharashtra/Goa,Idea,150,4,29,Internet,37.5,0.193333333,1.293103448
Haryana,Reliance,175,5,27,Internet,35,0.154285714,1.296296296
Punjab,Reliance,175,5,27,Internet,35,0.154285714,1.296296296
Maharashtra/Goa,Reliance,200,5,29,Internet,40,0.145,1.379310345
Maharashtra/Goa,Idea,70,7,7,FB,10,0.1,1.428571429
UP West/Uttarakhand,Idea,70,7,7,FB,10,0.1,1.428571429
Orissa,Reliance,1000,12,57,"Unlimited FB, WA",83.33333333,0.057,1.461988304
Kerala,Airtel,80,3,18,Internet,26.66666667,0.225,1.481481481
Punjab,Airtel,100,3,22,Internet,33.33333333,0.22,1.515151515
Orissa,Airtel,40,2,13,Internet,20,0.325,1.538461538
Assam,Airtel,75,3,15,Internet,25,0.2,1.666666667
Assam,Airtel,90,3,18,Internet,30,0.2,1.666666667
Bihar/Jharkhand,Airtel,125,3,25,Internet,41.66666667,0.2,1.666666667
Bihar/Jharkhand,Airtel,130,3,26,Internet,43.33333333,0.2,1.666666667
Chennai,Airtel,85,3,17,Internet,28.33333333,0.2,1.666666667
Madhya Pradesh/Chhattisgarh,Airtel,90,3,18,Internet,30,0.2,1.666666667
North East,Airtel,75,3,15,Internet,25,0.2,1.666666667
North East,Airtel,90,3,18,Internet,30,0.2,1.666666667
Orissa,Airtel,80,3,16,Internet,26.66666667,0.2,1.666666667
Rajasthan,Idea,120,3,24,Internet,40,0.2,1.666666667
West Bengal,Idea,80,3,16,Internet,26.66666667,0.2,1.666666667
Andhra Pradesh,Reliance,400,7,34,Internet,57.14285714,0.085,1.680672269
Bihar/Jharkhand,Reliance,400,7,34,Internet,57.14285714,0.085,1.680672269
Karnataka,Reliance,400,7,34,Internet,57.14285714,0.085,1.680672269
UP East,Reliance,350,7,29,Internet,50,0.082857143,1.724137931
Andhra Pradesh,Airtel,100,3,19,Internet,33.33333333,0.19,1.754385965
Assam,Idea,100,3,19,Internet,33.33333333,0.19,1.754385965
Gujarat,Airtel,100,3,19,Internet,33.33333333,0.19,1.754385965
Haryana,Idea,100,3,19,Internet,33.33333333,0.19,1.754385965
Mumbai,Reliance,100,3,19,Internet,33.33333333,0.19,1.754385965
North East,Idea,100,3,19,Internet,33.33333333,0.19,1.754385965
UP East,Airtel,100,3,19,Internet,33.33333333,0.19,1.754385965
Orissa,Idea,80,3,15,Internet,26.66666667,0.1875,1.777777778
Maharashtra/Goa,Reliance,450,7,36,Internet,64.28571429,0.08,1.785714286
Kolkata,Reliance,100,3,18,Internet,33.33333333,0.18,1.851851852
Kolkata,Reliance,350,7,27,Internet,50,0.077142857,1.851851852
Madhya Pradesh/Chhattisgarh,Reliance,100,3,18,Internet,33.33333333,0.18,1.851851852
West Bengal,Reliance,100,3,18,Internet,33.33333333,0.18,1.851851852
West Bengal,Reliance,350,7,27,Internet,50,0.077142857,1.851851852
Delhi NCR,Reliance,1000,10,51,"Unlimited FB, TW",100,0.051,1.960784314
Tamil Nadu,Airtel,100,3,17,Internet,33.33333333,0.17,1.960784314
Jammu and Kashmir,Reliance,500,7,36,Internet,71.42857143,0.072,1.984126984
Delhi NCR,Airtel,150,3,25,Internet,50,0.166666667,2
Karnataka,Airtel,60,2,15,Internet,30,0.25,2
Mumbai,Reliance,450,7,31,Internet,64.28571429,0.068888889,2.073732719
Delhi NCR,Airtel,75,2,18,Internet,37.5,0.24,2.083333333
Delhi NCR,Airtel,100,2,23,Internet,50,0.23,2.173913043
Gujarat,Reliance,450,6,34,Internet,75,0.075555556,2.205882353
Jammu and Kashmir,Idea,100,3,15,Internet,33.33333333,0.15,2.222222222
Kolkata,Reliance,1000,10,45,"Unlimited FB, TW",100,0.045,2.222222222
Tamil Nadu,Idea,100,3,15,Internet,33.33333333,0.15,2.222222222
West Bengal,Reliance,1000,10,45,"Unlimited FB, TW",100,0.045,2.222222222
Haryana,Reliance,130,3,19,Internet,43.33333333,0.146153846,2.280701754
Himachal Pradesh,Reliance,130,3,19,Internet,43.33333333,0.146153846,2.280701754
Punjab,Reliance,130,3,19,Internet,43.33333333,0.146153846,2.280701754
UP West/Uttarakhand,Airtel,90,2,19,Internet,45,0.211111111,2.368421053
Chennai,Reliance,100,3,14,Internet,33.33333333,0.14,2.380952381
Gujarat,Reliance,100,3,14,Internet,33.33333333,0.14,2.380952381
Jammu and Kashmir,Reliance,100,3,14,Internet,33.33333333,0.14,2.380952381
Kerala,Reliance,100,3,14,Internet,33.33333333,0.14,2.380952381
Rajasthan,Reliance,130,2,27,Internet,65,0.207692308,2.407407407
Rajasthan,Reliance,1000,8,51,"Unlimited FB, TW",125,0.051,2.450980392
Bihar/Jharkhand,Airtel,85,2,17,Internet,42.5,0.2,2.5
Maharashtra/Goa,Airtel,70,2,14,Internet,35,0.2,2.5
Mumbai,Idea,85,2,17,Internet,42.5,0.2,2.5
Mumbai,Airtel,85,2,17,Internet,42.5,0.2,2.5
West Bengal,Airtel,90,2,18,Internet,45,0.2,2.5
Andhra Pradesh,Reliance,100,3,13,Internet,33.33333333,0.13,2.564102564
Maharashtra/Goa,Reliance,150,3,19,Internet,50,0.126666667,2.631578947
Maharashtra/Goa,Idea,100,2,19,Internet,50,0.19,2.631578947
Rajasthan,Airtel,100,2,19,Internet,50,0.19,2.631578947
Assam,Reliance,150,3,18,Internet,50,0.12,2.777777778
Gujarat,Reliance,50,2,9,Internet,25,0.18,2.777777778
North East,Reliance,150,3,18,Internet,50,0.12,2.777777778
UP East,Reliance,125,3,15,Internet,41.66666667,0.12,2.777777778
UP West/Uttarakhand,Reliance,125,3,15,Internet,41.66666667,0.12,2.777777778
UP West/Uttarakhand,Reliance,600,7,29,Internet,85.71428571,0.048333333,2.955665025
Punjab,Reliance,400,5,27,Internet,80,0.0675,2.962962963
Maharashtra/Goa,Idea,3,1,1,FB,3,0.333333333,3
UP West/Uttarakhand,Idea,3,1,1,FB,3,0.333333333,3
UP West/Uttarakhand,Idea,3,1,1,TW,3,0.333333333,3
Gujarat,Reliance,1000,7,47,Internet,142.8571429,0.047,3.039513678
North East,Reliance,85,2,13,Internet,42.5,0.152941176,3.269230769
Delhi NCR,Reliance,150,3,14,Internet,50,0.093333333,3.571428571
Rajasthan,Airtel,20,1,5,Internet,20,0.25,4
Delhi NCR,Reliance,325,3,27,Internet,108.3333333,0.083076923,4.012345679
Kerala,Airtel,35,1,8,Internet,35,0.228571429,4.375
Rajasthan,Reliance,750,5,33,Internet,150,0.044,4.545454545
Haryana,Reliance,1000,7,31,Internet,142.8571429,0.031,4.608294931
Kerala,Reliance,1000,7,31,Internet,142.8571429,0.031,4.608294931
Assam,Airtel,35,1,7,Internet,35,0.2,5
Bihar/Jharkhand,Airtel,45,1,9,Internet,45,0.2,5
Delhi NCR,Reliance,25,1,5,Internet,25,0.2,5
Maharashtra/Goa,Airtel,25,1,5,Internet,25,0.2,5
North East,Airtel,35,1,7,Internet,35,0.2,5
Orissa,Airtel,45,1,9,Internet,45,0.2,5
Rajasthan,Airtel,35,1,7,Internet,35,0.2,5
Delhi NCR,Reliance,1000,5,39,Internet,200,0.039,5.128205128
Haryana,Reliance,30,1,5,Internet,30,0.166666667,6
Himachal Pradesh,Reliance,30,1,5,Internet,30,0.166666667,6
Karnataka,Reliance,30,1,5,Internet,30,0.166666667,6
Kerala,Reliance,30,1,5,Internet,30,0.166666667,6
Punjab,Reliance,30,1,5,Internet,30,0.166666667,6
West Bengal,Reliance,30,1,5,Internet,30,0.166666667,6
Rajasthan,Reliance,120,1,18,Internet,120,0.15,6.666666667
Orissa,Reliance,1000,5,27,Internet,200,0.027,7.407407407
Orissa,Reliance,1000,3,18,Internet,333.3333333,0.018,18.51851852
Delhi NCR,Reliance,1000,2,25,Internet,500,0.025,20
